"rt","riskLiteracy","deal","delay","odd","subvalue","value","timesseen","age","gender","income","job","pnum"
14867,4,"in 6 months 40%","in 6 months","40%",625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
4178,4,"in 6 months 100%","in 6 months","100%",39375,"40000",5,21,"Female",10000,"After School Recreation Leader",2
5289,4,"in 1 month 80%","in 1 month","80%",19375,"40000",5,21,"Female",10000,"After School Recreation Leader",2
6952,4,"in 5 years 25%","in 5 years","25%",625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
10831,4,"in 2 years 100%","in 2 years","100%",35625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
4910,4,"in 1 month 40%","in 1 month","40%",8125,"40000",5,21,"Female",10000,"After School Recreation Leader",2
4408,4,"immediately 25%","immediately","25%",625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
4935,4,"immediately 100%","immediately","100%",39375,"40000",5,21,"Female",10000,"After School Recreation Leader",2
6890,4,"immediately 80%","immediately","80%",29375,"40000",5,21,"Female",10000,"After School Recreation Leader",2
5436,4,"in 2 years 10%","in 2 years","10%",625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
12806,4,"immediately 10%","immediately","10%",1875,"40000",5,21,"Female",10000,"After School Recreation Leader",2
22793,4,"in 2 years 25%","in 2 years","25%",62.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
9921,4,"in 6 months 10%","in 6 months","10%",62.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
4477,4,"in 6 months 25%","in 6 months","25%",87.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
8087,4,"in 1 month 40%","in 1 month","40%",312.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
3084,4,"immediately 100%","immediately","100%",787.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
6633,4,"in 1 month 10%","in 1 month","10%",87.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
3586,4,"in 1 month 25%","in 1 month","25%",87.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
4395,4,"immediately 25%","immediately","25%",237.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
6192,4,"in 2 years 100%","in 2 years","100%",387.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
3704,4,"in 2 years 10%","in 2 years","10%",37.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
36489,4,"in 5 years 80%","in 5 years","80%",87.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
7572,4,"in 5 years 25%","in 5 years","25%",12.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
6550,4,"in 6 months 80%","in 6 months","80%",662.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
9559,4,"in 2 years 40%","in 2 years","40%",87.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
3572,4,"immediately 80%","immediately","80%",662.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
4698,4,"in 5 years 10%","in 5 years","10%",37.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
14148,4,"in 5 years 40%","in 5 years","40%",87.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
3667,4,"in 1 month 80%","in 1 month","80%",662.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
8419,4,"immediately 40%","immediately","40%",412.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
3301,4,"in 2 years 80%","in 2 years","80%",287.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
8964,4,"in 6 months 100%","in 6 months","100%",762.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
7745,4,"immediately 10%","immediately","10%",87.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
5491,4,"in 5 years 100%","in 5 years","100%",112.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
3342,4,"in 1 month 100%","in 1 month","100%",787.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
3857,4,"in 6 months 40%","in 6 months","40%",612.5,"800",5,21,"Female",10000,"After School Recreation Leader",2
7362,2,"in 2 years 40%","in 2 years","40%",1875,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
7351,2,"in 2 years 80%","in 2 years","80%",25625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
1820,2,"in 1 month 10%","in 1 month","10%",625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
2855,2,"in 1 month 80%","in 1 month","80%",23125,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
4244,2,"immediately 40%","immediately","40%",1875,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
2314,2,"in 6 months 80%","in 6 months","80%",20625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
12948,2,"in 5 years 100%","in 5 years","100%",26875,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
27554,2,"in 5 years 80%","in 5 years","80%",5625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
3797,2,"in 2 years 100%","in 2 years","100%",35625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
3029,2,"immediately 80%","immediately","80%",20625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
1939,2,"in 2 years 25%","in 2 years","25%",625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
2404,2,"in 1 month 100%","in 1 month","100%",39375,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
1698,2,"in 6 months 100%","in 6 months","100%",39375,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
7081,2,"in 6 months 25%","in 6 months","25%",1875,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
3870,2,"in 1 month 40%","in 1 month","40%",1875,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
4890,2,"in 5 years 40%","in 5 years","40%",1875,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
2492,2,"in 1 month 25%","in 1 month","25%",625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
1391,2,"in 5 years 10%","in 5 years","10%",625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
2631,2,"in 6 months 40%","in 6 months","40%",625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
2763,2,"immediately 10%","immediately","10%",625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
2488,2,"in 6 months 10%","in 6 months","10%",625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
1498,2,"in 2 years 10%","in 2 years","10%",625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
2090,2,"immediately 100%","immediately","100%",39375,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
5003,2,"immediately 25%","immediately","25%",1875,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
1499,2,"in 5 years 25%","in 5 years","25%",625,"40000",5,21,"Male",14000,"Clerk, Student Assistant",4
2355,2,"immediately 100%","immediately","100%",787.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
2112,2,"immediately 80%","immediately","80%",612.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
3177,2,"in 2 years 10%","in 2 years","10%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
2583,2,"in 5 years 10%","in 5 years","10%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
2301,2,"in 1 month 40%","in 1 month","40%",62.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
173434,2,"in 6 months 80%","in 6 months","80%",462.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
1626,2,"in 5 years 40%","in 5 years","40%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
4268,2,"in 1 month 80%","in 1 month","80%",437.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
2597,2,"in 2 years 100%","in 2 years","100%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
3337,2,"immediately 25%","immediately","25%",62.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
2420,2,"in 6 months 25%","in 6 months","25%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
2865,2,"in 2 years 25%","in 2 years","25%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
1680,2,"in 5 years 25%","in 5 years","25%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
1633,2,"in 2 years 40%","in 2 years","40%",62.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
1653,2,"immediately 10%","immediately","10%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
2958,2,"in 6 months 100%","in 6 months","100%",712.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
3714,2,"in 6 months 40%","in 6 months","40%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
4225,2,"in 1 month 100%","in 1 month","100%",762.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
1912,2,"in 2 years 80%","in 2 years","80%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
7027,2,"in 1 month 10%","in 1 month","10%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
3291,2,"immediately 40%","immediately","40%",62.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
3421,2,"in 6 months 10%","in 6 months","10%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
3465,2,"in 5 years 100%","in 5 years","100%",37.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
7256,2,"in 5 years 80%","in 5 years","80%",37.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
2265,2,"in 1 month 25%","in 1 month","25%",12.5,"800",5,21,"Male",14000,"Clerk, Student Assistant",4
5576,2,"in 2 years 10%","in 2 years","10%",625,"40000",5,30,"Female",12000,"no",5
6201,2,"in 6 months 10%","in 6 months","10%",625,"40000",5,30,"Female",12000,"no",5
5327,2,"immediately 100%","immediately","100%",39375,"40000",5,30,"Female",12000,"no",5
3772,2,"in 1 month 10%","in 1 month","10%",625,"40000",5,30,"Female",12000,"no",5
12682,2,"in 6 months 100%","in 6 months","100%",26875,"40000",5,30,"Female",12000,"no",5
4103,2,"in 5 years 25%","in 5 years","25%",625,"40000",5,30,"Female",12000,"no",5
19404,2,"immediately 80%","immediately","80%",21875,"40000",5,30,"Female",12000,"no",5
170608,2,"in 1 month 80%","in 1 month","80%",33125,"40000",5,30,"Female",12000,"no",5
4339,2,"in 5 years 40%","in 5 years","40%",625,"40000",5,30,"Female",12000,"no",5
4498,2,"in 1 month 25%","in 1 month","25%",3125,"40000",5,30,"Female",12000,"no",5
4181,2,"in 2 years 25%","in 2 years","25%",625,"40000",5,30,"Female",12000,"no",5
7628,2,"in 1 month 40%","in 1 month","40%",15625,"40000",5,30,"Female",12000,"no",5
4238,2,"immediately 10%","immediately","10%",625,"40000",5,30,"Female",12000,"no",5
9617,2,"in 5 years 100%","in 5 years","100%",9375,"40000",5,30,"Female",12000,"no",5
7476,2,"in 5 years 80%","in 5 years","80%",1875,"40000",5,30,"Female",12000,"no",5
8617,2,"in 1 month 100%","in 1 month","100%",39375,"40000",5,30,"Female",12000,"no",5
8577,2,"in 2 years 100%","in 2 years","100%",18125,"40000",5,30,"Female",12000,"no",5
3091,2,"in 6 months 25%","in 6 months","25%",625,"40000",5,30,"Female",12000,"no",5
3547,2,"in 5 years 10%","in 5 years","10%",625,"40000",5,30,"Female",12000,"no",5
2793,2,"in 6 months 40%","in 6 months","40%",625,"40000",5,30,"Female",12000,"no",5
8637,2,"in 6 months 80%","in 6 months","80%",21875,"40000",5,30,"Female",12000,"no",5
3507,2,"in 2 years 40%","in 2 years","40%",625,"40000",5,30,"Female",12000,"no",5
5510,2,"in 2 years 80%","in 2 years","80%",9375,"40000",5,30,"Female",12000,"no",5
4021,2,"immediately 40%","immediately","40%",5625,"40000",5,30,"Female",12000,"no",5
3225,2,"immediately 25%","immediately","25%",625,"40000",5,30,"Female",12000,"no",5
5927,2,"in 2 years 10%","in 2 years","10%",12.5,"800",5,30,"Female",12000,"no",5
7014,2,"in 1 month 25%","in 1 month","25%",37.5,"800",5,30,"Female",12000,"no",5
4155,2,"immediately 10%","immediately","10%",12.5,"800",5,30,"Female",12000,"no",5
7460,2,"in 2 years 80%","in 2 years","80%",337.5,"800",5,30,"Female",12000,"no",5
3283,2,"in 5 years 10%","in 5 years","10%",12.5,"800",5,30,"Female",12000,"no",5
5510,2,"in 6 months 80%","in 6 months","80%",187.5,"800",5,30,"Female",12000,"no",5
4076,2,"in 6 months 25%","in 6 months","25%",12.5,"800",5,30,"Female",12000,"no",5
4408,2,"immediately 80%","immediately","80%",387.5,"800",5,30,"Female",12000,"no",5
3628,2,"in 1 month 10%","in 1 month","10%",12.5,"800",5,30,"Female",12000,"no",5
4984,2,"in 6 months 100%","in 6 months","100%",387.5,"800",5,30,"Female",12000,"no",5
8054,2,"in 1 month 80%","in 1 month","80%",587.5,"800",5,30,"Female",12000,"no",5
5247,2,"in 1 month 40%","in 1 month","40%",62.5,"800",5,30,"Female",12000,"no",5
3117,2,"in 6 months 10%","in 6 months","10%",12.5,"800",5,30,"Female",12000,"no",5
6989,2,"immediately 40%","immediately","40%",112.5,"800",5,30,"Female",12000,"no",5
3577,2,"in 2 years 25%","in 2 years","25%",12.5,"800",5,30,"Female",12000,"no",5
4083,2,"immediately 100%","immediately","100%",787.5,"800",5,30,"Female",12000,"no",5
4870,2,"in 5 years 100%","in 5 years","100%",212.5,"800",5,30,"Female",12000,"no",5
3947,2,"in 1 month 100%","in 1 month","100%",787.5,"800",5,30,"Female",12000,"no",5
3872,2,"in 5 years 25%","in 5 years","25%",12.5,"800",5,30,"Female",12000,"no",5
3678,2,"in 5 years 40%","in 5 years","40%",12.5,"800",5,30,"Female",12000,"no",5
3717,2,"immediately 25%","immediately","25%",12.5,"800",5,30,"Female",12000,"no",5
5590,2,"in 2 years 40%","in 2 years","40%",12.5,"800",5,30,"Female",12000,"no",5
5496,2,"in 2 years 100%","in 2 years","100%",187.5,"800",5,30,"Female",12000,"no",5
13916,2,"in 6 months 40%","in 6 months","40%",62.5,"800",5,30,"Female",12000,"no",5
4496,2,"in 5 years 80%","in 5 years","80%",112.5,"800",5,30,"Female",12000,"no",5
1349,1,"in 2 years 40%","in 2 years","40%",62.5,"800",5,20,"Female",0,"Nanny",6
1030,1,"in 6 months 10%","in 6 months","10%",12.5,"800",5,20,"Female",0,"Nanny",6
1052,1,"in 6 months 40%","in 6 months","40%",62.5,"800",5,20,"Female",0,"Nanny",6
1149,1,"immediately 10%","immediately","10%",12.5,"800",5,20,"Female",0,"Nanny",6
806,1,"in 5 years 80%","in 5 years","80%",762.5,"800",5,20,"Female",0,"Nanny",6
938,1,"in 1 month 10%","in 1 month","10%",12.5,"800",5,20,"Female",0,"Nanny",6
805,1,"in 1 month 100%","in 1 month","100%",762.5,"800",5,20,"Female",0,"Nanny",6
716,1,"immediately 100%","immediately","100%",787.5,"800",5,20,"Female",0,"Nanny",6
2055,1,"in 1 month 25%","in 1 month","25%",12.5,"800",5,20,"Female",0,"Nanny",6
754,1,"in 2 years 100%","in 2 years","100%",687.5,"800",5,20,"Female",0,"Nanny",6
739,1,"in 5 years 100%","in 5 years","100%",787.5,"800",5,20,"Female",0,"Nanny",6
1501,1,"immediately 80%","immediately","80%",787.5,"800",5,20,"Female",0,"Nanny",6
775,1,"in 1 month 80%","in 1 month","80%",637.5,"800",5,20,"Female",0,"Nanny",6
987,1,"in 5 years 10%","in 5 years","10%",12.5,"800",5,20,"Female",0,"Nanny",6
857,1,"immediately 40%","immediately","40%",12.5,"800",5,20,"Female",0,"Nanny",6
1465,1,"in 6 months 100%","in 6 months","100%",787.5,"800",5,20,"Female",0,"Nanny",6
1424,1,"in 2 years 25%","in 2 years","25%",12.5,"800",5,20,"Female",0,"Nanny",6
1089,1,"in 6 months 25%","in 6 months","25%",12.5,"800",5,20,"Female",0,"Nanny",6
969,1,"in 5 years 40%","in 5 years","40%",12.5,"800",5,20,"Female",0,"Nanny",6
1022,1,"in 1 month 40%","in 1 month","40%",12.5,"800",5,20,"Female",0,"Nanny",6
1111,1,"in 6 months 80%","in 6 months","80%",787.5,"800",5,20,"Female",0,"Nanny",6
1030,1,"immediately 25%","immediately","25%",37.5,"800",5,20,"Female",0,"Nanny",6
1103,1,"in 2 years 80%","in 2 years","80%",787.5,"800",5,20,"Female",0,"Nanny",6
869,1,"in 5 years 25%","in 5 years","25%",37.5,"800",5,20,"Female",0,"Nanny",6
984,1,"in 2 years 10%","in 2 years","10%",12.5,"800",5,20,"Female",0,"Nanny",6
930,1,"in 2 years 40%","in 2 years","40%",625,"40000",5,20,"Female",0,"Nanny",6
878,1,"immediately 100%","immediately","100%",39375,"40000",5,20,"Female",0,"Nanny",6
1122,1,"in 5 years 80%","in 5 years","80%",29375,"40000",5,20,"Female",0,"Nanny",6
796,1,"in 2 years 80%","in 2 years","80%",39375,"40000",5,20,"Female",0,"Nanny",6
938,1,"in 1 month 25%","in 1 month","25%",625,"40000",5,20,"Female",0,"Nanny",6
3567,1,"immediately 25%","immediately","25%",625,"40000",5,20,"Female",0,"Nanny",6
782,1,"in 6 months 100%","in 6 months","100%",39375,"40000",5,20,"Female",0,"Nanny",6
830,1,"in 2 years 10%","in 2 years","10%",625,"40000",5,20,"Female",0,"Nanny",6
752,1,"immediately 40%","immediately","40%",1875,"40000",5,20,"Female",0,"Nanny",6
1348,1,"immediately 80%","immediately","80%",9375,"40000",5,20,"Female",0,"Nanny",6
1085,1,"in 6 months 80%","in 6 months","80%",1875,"40000",5,20,"Female",0,"Nanny",6
1286,1,"in 5 years 40%","in 5 years","40%",625,"40000",5,20,"Female",0,"Nanny",6
1006,1,"immediately 10%","immediately","10%",625,"40000",5,20,"Female",0,"Nanny",6
1235,1,"in 5 years 25%","in 5 years","25%",625,"40000",5,20,"Female",0,"Nanny",6
952,1,"in 1 month 80%","in 1 month","80%",30625,"40000",5,20,"Female",0,"Nanny",6
803,1,"in 5 years 100%","in 5 years","100%",39375,"40000",5,20,"Female",0,"Nanny",6
901,1,"in 6 months 10%","in 6 months","10%",625,"40000",5,20,"Female",0,"Nanny",6
915,1,"in 1 month 10%","in 1 month","10%",625,"40000",5,20,"Female",0,"Nanny",6
1204,1,"in 5 years 10%","in 5 years","10%",625,"40000",5,20,"Female",0,"Nanny",6
1253,1,"in 2 years 25%","in 2 years","25%",625,"40000",5,20,"Female",0,"Nanny",6
1461,1,"in 2 years 100%","in 2 years","100%",19375,"40000",5,20,"Female",0,"Nanny",6
1207,1,"in 6 months 25%","in 6 months","25%",625,"40000",5,20,"Female",0,"Nanny",6
1062,1,"in 6 months 40%","in 6 months","40%",625,"40000",5,20,"Female",0,"Nanny",6
952,1,"in 1 month 40%","in 1 month","40%",625,"40000",5,20,"Female",0,"Nanny",6
1366,1,"in 1 month 100%","in 1 month","100%",39375,"40000",5,20,"Female",0,"Nanny",6
3333,2,"in 2 years 100%","in 2 years","100%",29375,"40000",5,21,"Female",21000,"customer service representative",7
3701,2,"immediately 80%","immediately","80%",20625,"40000",5,21,"Female",21000,"customer service representative",7
4901,2,"in 5 years 100%","in 5 years","100%",38125,"40000",5,21,"Female",21000,"customer service representative",7
2813,2,"in 5 years 25%","in 5 years","25%",625,"40000",5,21,"Female",21000,"customer service representative",7
1957,2,"in 2 years 25%","in 2 years","25%",625,"40000",5,21,"Female",21000,"customer service representative",7
2316,2,"in 6 months 10%","in 6 months","10%",625,"40000",5,21,"Female",21000,"customer service representative",7
3524,2,"in 1 month 100%","in 1 month","100%",38125,"40000",5,21,"Female",21000,"customer service representative",7
1964,2,"in 5 years 10%","in 5 years","10%",625,"40000",5,21,"Female",21000,"customer service representative",7
8044,2,"in 1 month 25%","in 1 month","25%",625,"40000",5,21,"Female",21000,"customer service representative",7
2885,2,"in 1 month 40%","in 1 month","40%",625,"40000",5,21,"Female",21000,"customer service representative",7
4549,2,"in 6 months 100%","in 6 months","100%",34375,"40000",5,21,"Female",21000,"customer service representative",7
1789,2,"in 2 years 10%","in 2 years","10%",625,"40000",5,21,"Female",21000,"customer service representative",7
2333,2,"in 1 month 80%","in 1 month","80%",10625,"40000",5,21,"Female",21000,"customer service representative",7
4212,2,"in 2 years 40%","in 2 years","40%",625,"40000",5,21,"Female",21000,"customer service representative",7
1524,2,"in 6 months 25%","in 6 months","25%",625,"40000",5,21,"Female",21000,"customer service representative",7
2004,2,"in 5 years 80%","in 5 years","80%",10625,"40000",5,21,"Female",21000,"customer service representative",7
1508,2,"immediately 40%","immediately","40%",625,"40000",5,21,"Female",21000,"customer service representative",7
3213,2,"in 6 months 40%","in 6 months","40%",1875,"40000",5,21,"Female",21000,"customer service representative",7
2205,2,"in 6 months 80%","in 6 months","80%",18125,"40000",5,21,"Female",21000,"customer service representative",7
2857,2,"immediately 25%","immediately","25%",625,"40000",5,21,"Female",21000,"customer service representative",7
4125,2,"in 2 years 80%","in 2 years","80%",5625,"40000",5,21,"Female",21000,"customer service representative",7
1901,2,"immediately 100%","immediately","100%",39375,"40000",5,21,"Female",21000,"customer service representative",7
